,Unnamed: 0,Unnamed: 0.1,product.product_brand_page_click_to_cart_rate,product.product_brand_page_impression_to_click_rate,product.product_click_to_cart_rate_4w,product.product_impression_to_click_rate_4w,product.product_is_high_sell_through,product.product_num_cart_adds_4w,product.product_num_clicks_4w,product.product_num_impressions_4w,product.product_num_search_excess_cart_adds_4w,product.product_num_search_excess_clicks_4w,product.product_num_search_impressions_4w,retailerbrand.retailer_brand_days_since_last_cart_item_added,retailerbrand.retailer_brand_days_since_last_favorite,retailerbrand.retailer_brand_days_since_last_order,retailerbrand.retailer_brand_days_since_last_visit,retailerbrand.retailer_brand_empirical_visit_rate,retailerbrand.retailer_brand_filter_first_order_minimum_dot_product,retailerbrand.retailer_brand_filter_maker_values_cosine_similarity,retailerbrand.retailer_brand_filter_maker_values_dot_product,retailerbrand.retailer_brand_filter_reorder_minimum_dot_product,retailerbrand.retailer_brand_lightfm_cosine_similarity,retailerbrand.retailer_brand_num_brand_impressions_12w,retailerbrand.retailer_brand_num_brand_impressions_1w,retailerbrand.retailer_brand_num_brand_impressions_4w,retailerbrand.retailer_brand_num_brand_orders_12w,retailerbrand.retailer_brand_num_brand_orders_1w,retailerbrand.retailer_brand_num_brand_orders_4w,retailerbrand.retailer_brand_num_brand_visits_12w,retailerbrand.retailer_brand_num_brand_visits_1w,retailerbrand.retailer_brand_num_brand_visits_4w,retailerbrand.retailer_brand_num_products_added_to_cart_12w,retailerbrand.retailer_brand_num_products_added_to_cart_1w,retailerbrand.retailer_brand_num_products_added_to_cart_4w,retailerbrand.retailer_last_added_brands_brand_lightfm_cosine_similarity,retailerbrand.retailer_last_ordered_brands_brand_lightfm_cosine_similarity,retailerbrand.retailer_last_visited_brands_brand_lightfm_cosine_similarity,rand,title,description,has_product_click,created_at_a,query_text,filter_string,page_number,page_size,position,retailer_token_anon,request_id_anon
0,26152,26152,1.0708,0.0133,,,0.0,,,303.0,-0.5483,0.157,218.0,,,,,,0.0,,0.0,0.0,0.2300140742499957,,,,,,,,,,,,,0.9997670277211848,0.9997227024805242,0.9995933322109266,51,Leopard Visor Sun Hat,Hat-leopard visor sun hat.,0,2020-05-31 00:22:33.18,sun hat,,0.0,48,23.0,188,1433
1,26890,26890,1.9197,0.0134,,,0.0,,,77.0,-0.0956,-0.5289,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,50,Beach Ball (Blank),"Offbeat, cheeky and distinctive greeting cards derived from original oil paintings by Chicago artist, Danilo Cuevas.  We carry a full line of cards covering all occasions and holidays.  Blank inside, each card arrives with a matching envelope and packaged in a clear, protective sleeve.
A2 Card, Single with Matching Envelope.
",0,2020-05-31 01:21:00.418,beach,,23.0,24,559.0,132,703
2,41983,41983,0.608,0.0423,,,0.0,,,50.0,-0.0044,-0.0223,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,7,Selene’s Love Necklace ,"Selene, considered the human personification of the moon itself by the Greeks, fell madly in love with a human and bore him 50 children. Now that’s true love!

Pendant and adjustable chain made of Gold Vermeil: sterling silver plated in 18k gold.Chain adjusts from 16-17-18"" and is perfect for layering!",0,2020-05-31 23:34:57.391,gold love necklace,,1.0,48,58.0,81,516
3,49020,49020,0.317,0.0066,,,0.0,,,133.0,-0.0463,-0.242,26.0,,11.0,,11.0,,0.0,0.0,0.0,0.0,0.3888469334867141,,22.0,56.0,,,,2.0,0.0,2.0,,,,0.9999043442989656,0.9998697892907416,0.9998988515795804,26,Black Plastic Letter Set for Changeable Felt Letter Boards,"Black plastic letter set for changeable felt letter boards. 3/4 inch letters, set of 300 characters by Felt like sharing.",0,2020-05-31 14:50:05.476,letter board,,0.0,48,48.0,728,940
4,42438,42438,0.6645,0.0126,,,0.0,,,137.0,-0.0243,-0.1516,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,40,Love Cross Dakota Sign,"Our Dakota Signs are handcrafted from real wood by real hometown folks in downtown Laurel, Mississippi. Every sign is individually hand-cut, painted, printed, and framed in our workshop. These signs look great on almost any wall...from the dining room to den, bedroom to bath, man cave to the home office, mudroom to living room, and porch to the patio. 
Weight: 0lbs.
8"" X 8"" X 1.5"".",0,2020-05-31 21:58:00.131,porch signs,,0.0,50,44.0,265,1312
5,9374,9374,0.2977,0.0152,,,0.0,,,160.0,-0.0491,0.7205,14.0,20.0,,31.0,11.0,0.1881,0.0,,0.0,0.0,0.2249951637902221,202.0,,177.0,1.0,0.0,0.0,38.0,0.0,14.0,9.0,0.0,1.0,0.9998124109122712,0.999708673484806,0.9997829913983166,73,Sleeping Partners Super Soft Double Layer Faux Fur Blanket,"MATERIAL: 100% Super Soft Acrylic Fur backed to Microfiber Polyester Plush. DIMENSIONS: 50""x60"" Double Layered",0,2020-05-31 01:17:28.78,tadpoles,,0.0,50,29.0,190,948
6,45166,45166,0.4252,0.0015,,,0.0,,,27.0,-0.0346,-0.2072,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,10,Canisateo - Eyeglass Cases,Your glasses will stay safe and scratch free in this carefully handcrafted.,0,2020-05-31 22:38:10.21,glass canister,,1.0,50,78.0,7,1025
7,53808,39442,0.21,0.005,,,0.0,,,169.0,-0.3662,-1.9213,211.0,,,,,,0.0,,0.0,0.0,0.2628924687066845,,,,,,,,,,,,,0.9997069972438056,0.9997336154717223,0.9996673579954573,69,8 oz Soy Candle - Citronella & Herb,"Citronella, lemon grass, and orange that helps keep pesky mosquitoes away!",0,2020-05-31 19:16:15.458,citronella,,0.0,48,19.0,90,734
8,46090,46090,0.1206,0.0091,,,0.0,,,173.0,-0.2316,-1.2144,95.0,56.0,,,62.0,,0.0,0.0,0.0,0.0,0.1897991505873784,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.9996739950835584,0.9995708646897634,0.9995432610437476,70,Decorative Christmas Throw Pillow Cover Christmas Stockings,"•	This Christmas Pillow cover has amazing design which fits for every kind of decoration and enhances the beauty of your home.
•	Perfect look and the quality product, and it goes with sofa, couch, sectionals, accent chairs and bed.
•	Spot clean or dry clean only, Insert Not Included, Made of Cotton Slub and Zipper Closer
•	Pillow Cover Size: 18"" x 18"" x 0.5""
•	These Pillows are Hand Illustrated Printed & Embroidered.
",0,2020-05-31 23:12:41.16,christmas stocking,,3.0,24,85.0,519,1050
9,43232,43232,0.478,0.0284,,,0.0,,,250.0,-0.2116,0.7365,117.0,2.0,143.0,21.0,3.0,1.3162,0.0,0.4997960493798833,0.3301886916160583,0.0,0.1694652031951538,136.0,21.0,107.0,1.0,0.0,1.0,179.0,127.0,173.0,30.0,8.0,30.0,0.9997567754692004,0.9997749865598452,0.9998367069303824,64,Earrings - shimmer 5,So pretty and trendy. Our most popular wedding earring. ,0,2020-05-31 01:51:28.635,beautiful boundries,"[""category:jewelry|earrings""]",0.0,48,29.0,230,1213
